1,0.84,0.87,0.71,0.85,0.16,0.76,0.87,0.59,0.75,0.73,0.87,0.87,0.70,0.43,0.71,0.90,0.88,0.87,0.81,0.87,0.74,0.74,0.78,0.68,0.39,0.84,0.76,0.88,0.85,0.49
0.84,1,0.92,0.80,0.91,0.23,0.80,0.92,0.61,0.80,0.84,0.92,0.92,0.67,0.40,0.82,0.91,0.92,0.90,0.82,0.89,0.83,0.75,0.84,0.73,0.31,0.91,0.78,0.86,0.92,0.56
0.87,0.92,1,0.82,0.96,0.23,0.80,0.97,0.61,0.86,0.87,1.00,0.99,0.69,0.47,0.88,0.95,0.95,0.97,0.86,0.95,0.86,0.77,0.85,0.75,0.28,0.96,0.82,0.90,0.96,0.57
0.71,0.80,0.82,1,0.80,0.15,0.66,0.81,0.56,0.71,0.74,0.82,0.82,0.62,0.35,0.73,0.79,0.80,0.81,0.72,0.79,0.72,0.66,0.74,0.61,0.27,0.80,0.65,0.74,0.80,0.44
0.85,0.91,0.96,0.80,1,0.22,0.80,0.94,0.64,0.83,0.85,0.96,0.95,0.69,0.49,0.86,0.94,0.95,0.94,0.85,0.93,0.87,0.83,0.84,0.75,0.31,1.00,0.82,0.89,0.95,0.55
0.16,0.23,0.23,0.15,0.22,1,0.22,0.28,0.10,0.17,0.16,0.23,0.19,0.18,0.09,0.22,0.20,0.19,0.24,0.23,0.19,0.17,0.22,0.21,0.29,0.05,0.22,0.18,0.16,0.22,0.91
0.76,0.80,0.80,0.66,0.80,0.22,1,0.85,0.54,0.73,0.52,0.80,0.79,0.79,0.43,0.58,0.80,0.81,0.85,0.79,0.78,0.77,0.88,0.86,0.83,0.45,0.79,0.73,0.75,0.82,0.49
0.87,0.92,0.97,0.81,0.94,0.28,0.85,1,0.61,0.85,0.79,0.97,0.95,0.75,0.45,0.82,0.95,0.94,0.97,0.88,0.93,0.87,0.84,0.87,0.81,0.31,0.94,0.80,0.88,0.96,0.60
0.59,0.61,0.61,0.56,0.64,0.10,0.54,0.61,1,0.54,0.53,0.61,0.61,0.47,0.34,0.53,0.67,0.63,0.62,0.63,0.67,0.57,0.53,0.58,0.48,0.24,0.64,0.66,0.57,0.62,0.32
0.75,0.80,0.86,0.71,0.83,0.17,0.73,0.85,0.54,1,0.73,0.86,0.86,0.66,0.34,0.70,0.85,0.83,0.85,0.77,0.88,0.84,0.71,0.82,0.73,0.29,0.84,0.81,0.78,0.89,0.47
0.73,0.84,0.87,0.74,0.85,0.16,0.52,0.79,0.53,0.73,1,0.87,0.87,0.42,0.36,0.93,0.83,0.84,0.79,0.68,0.83,0.71,0.48,0.62,0.45,0.18,0.86,0.69,0.82,0.83,0.48
0.87,0.92,1.00,0.82,0.96,0.23,0.80,0.97,0.61,0.86,0.87,1,0.99,0.69,0.47,0.88,0.95,0.95,0.97,0.86,0.95,0.86,0.77,0.85,0.75,0.28,0.96,0.82,0.90,0.96,0.57
0.87,0.92,0.99,0.82,0.95,0.19,0.79,0.95,0.61,0.86,0.87,0.99,1,0.70,0.46,0.85,0.95,0.94,0.96,0.85,0.96,0.85,0.77,0.85,0.73,0.29,0.95,0.81,0.90,0.96,0.54
