1,0.15,N/A,0.05,0.15,0.16,0.02,0.15,N/A,0.13,0.44,0.14,N/A,N/A,0.02,-0.05,0.04,0.16,0.08,0.03,0.04,N/A,0.03,0.16,0.10,0.00,0.01,0.04,0.12,0.07,N/A,-0.00,0.05,N/A,-0.03,0.16,0.11,0.12,N/A,0.04,-0.02,0.18,N/A,0.13,0.01,N/A,0.10,0.11,0.22,N/A,N/A,N/A,0.01,0.00
0.15,1,N/A,0.40,0.25,0.18,0.17,0.20,N/A,0.43,0.48,0.36,N/A,N/A,0.36,-0.04,0.20,0.00,0.18,0.38,0.16,N/A,-0.04,0.08,0.08,0.05,0.44,0.11,0.48,0.38,N/A,0.33,0.15,N/A,0.14,0.33,0.18,0.33,N/A,0.26,0.53,0.26,N/A,0.42,0.34,N/A,0.49,0.23,0.37,N/A,N/A,N/A,0.36,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.40,N/A,1,0.38,0.17,0.15,0.22,N/A,0.56,0.43,0.36,N/A,N/A,0.93,0.08,0.31,0.04,0.06,0.97,0.30,N/A,0.20,0.11,0.16,0.15,0.95,0.12,0.92,0.27,N/A,0.92,0.13,N/A,0.20,0.48,0.28,0.42,N/A,0.36,0.28,0.45,N/A,0.58,0.19,N/A,0.62,0.11,0.37,N/A,N/A,N/A,0.92,0.33
0.15,0.25,N/A,0.38,1,0.37,0.08,0.17,N/A,0.44,0.36,0.41,N/A,N/A,0.28,0.19,0.25,0.02,0.05,0.31,0.24,N/A,0.32,0.13,0.27,0.12,0.38,0.12,0.48,0.36,N/A,0.24,0.11,N/A,0.11,0.96,0.25,0.31,N/A,0.29,0.20,0.43,N/A,0.46,0.14,N/A,0.45,0.21,0.41,N/A,N/A,N/A,0.27,0.45
0.16,0.18,N/A,0.17,0.37,1,0.06,0.05,N/A,0.36,0.19,0.43,N/A,N/A,0.09,0.03,0.11,0.01,-0.00,0.14,0.09,N/A,0.17,0.07,0.10,0.07,0.14,-0.07,0.31,0.20,N/A,0.08,0.02,N/A,0.23,0.40,0.18,0.20,N/A,0.14,0.10,0.37,N/A,0.35,0.18,N/A,0.28,0.10,0.39,N/A,N/A,N/A,0.10,0.26
0.02,0.17,N/A,0.15,0.08,0.06,1,0.21,N/A,0.18,0.07,0.06,N/A,N/A,0.11,-0.06,0.35,0.00,-0.07,0.13,0.04,N/A,-0.09,0.04,0.03,0.35,0.15,0.04,0.17,0.04,N/A,0.09,0.13,N/A,0.05,0.11,0.04,0.34,N/A,0.06,0.14,0.16,N/A,0.20,0.13,N/A,0.16,0.02,0.08,N/A,N/A,N/A,0.11,0.04
0.15,0.20,N/A,0.22,0.17,0.05,0.21,1,N/A,0.37,0.08,0.17,N/A,N/A,0.12,-0.02,0.31,-0.08,0.08,0.14,0.26,N/A,-0.01,0.06,0.07,0.11,0.16,0.07,0.30,0.19,N/A,0.07,0.14,N/A,0.02,0.25,0.11,0.69,N/A,0.28,0.15,0.29,N/A,0.36,0.09,N/A,0.29,0.11,0.20,N/A,N/A,N/A,0.08,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.43,N/A,0.56,0.44,0.36,0.18,0.37,N/A,1,0.33,0.51,N/A,N/A,0.34,0.15,0.51,0.06,0.23,0.42,0.53,N/A,0.32,0.30,0.33,0.32,0.47,0.33,0.80,0.39,N/A,0.25,0.17,N/A,0.26,0.65,0.41,0.74,N/A,0.59,0.46,0.80,N/A,0.97,0.36,N/A,0.73,0.38,0.52,N/A,N/A,N/A,0.27,0.33
