1,0.22,N/A,0.73,0.12,0.07,N/A,0.25,0.25,0.47,0.36,0.41,0.39,0.56,0.92,0.06,0.56,0.95,0.16,0.34,0.12,N/A,0.52,0.16,N/A,N/A,0.06,0.05,0.06,N/A,0.50,0.12,0.46,0.05,N/A,0.95,N/A,0.36,0.20,0.16,0.32,0.45,0.46
0.22,1,N/A,0.25,0.13,0.01,N/A,0.08,0.08,0.23,0.12,0.35,0.10,0.13,0.24,0.04,0.13,0.15,0.04,0.15,-0.06,N/A,0.03,0.14,N/A,N/A,0.12,-0.03,0.10,N/A,0.22,0.19,0.42,-0.06,N/A,0.15,N/A,0.24,0.24,0.04,0.34,0.12,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.73,0.25,N/A,1,0.20,0.25,N/A,0.31,0.31,0.42,0.53,0.69,0.50,0.57,0.75,0.10,0.57,0.73,0.27,0.55,0.30,N/A,0.63,0.21,N/A,N/A,0.09,0.09,0.14,N/A,0.39,0.35,0.55,0.13,N/A,0.73,N/A,0.51,0.28,0.27,0.41,0.78,0.55
0.12,0.13,N/A,0.20,1,-0.04,N/A,-0.01,-0.01,0.04,-0.08,0.08,0.01,0.01,0.15,0.04,0.01,0.16,0.09,0.10,0.03,N/A,0.25,0.07,N/A,N/A,0.13,0.08,-0.06,N/A,-0.06,0.15,0.12,-0.00,N/A,0.16,N/A,0.06,0.01,0.09,0.08,0.07,0.12
0.07,0.01,N/A,0.25,-0.04,1,N/A,0.03,0.03,0.08,0.15,0.14,0.11,-0.00,0.10,0.04,-0.00,0.06,0.07,0.07,0.17,N/A,0.12,0.03,N/A,N/A,-0.03,0.05,-0.05,N/A,0.04,0.50,0.23,0.02,N/A,0.06,N/A,0.03,-0.02,0.07,0.11,0.17,0.23
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.25,0.08,N/A,0.31,-0.01,0.03,N/A,1,1.00,0.03,0.26,0.29,0.36,0.25,0.28,0.00,0.25,0.28,0.19,0.24,0.16,N/A,0.14,0.04,N/A,N/A,0.00,-0.00,0.02,N/A,0.22,0.06,0.28,-0.01,N/A,0.28,N/A,0.13,0.14,0.19,0.19,0.26,0.28
0.25,0.08,N/A,0.31,-0.01,0.03,N/A,1.00,1,0.03,0.26,0.29,0.36,0.25,0.28,0.00,0.25,0.28,0.19,0.24,0.16,N/A,0.14,0.04,N/A,N/A,0.00,-0.00,0.02,N/A,0.22,0.06,0.28,-0.01,N/A,0.28,N/A,0.13,0.14,0.19,0.19,0.26,0.28
0.47,0.23,N/A,0.42,0.04,0.08,N/A,0.03,0.03,1,0.23,0.26,0.04,0.32,0.46,0.07,0.32,0.46,0.22,0.03,0.04,N/A,0.13,0.18,N/A,N/A,-0.01,0.03,0.04,N/A,0.54,0.08,0.18,0.06,N/A,0.46,N/A,0.34,0.07,0.22,0.17,0.29,0.18
