1,0.18,0.16,0.31,0.54,0.12,0.45,0.16,0.22,N/A,0.51,0.07,0.23,0.22,0.33,0.58,0.16,0.37,0.11,N/A,0.13,0.36,0.59,0.36,0.31,0.32,0.19,0.20,0.21,0.32,N/A,0.55,N/A,0.01,0.45,N/A
0.18,1,0.10,0.28,0.11,0.12,0.09,0.16,0.09,N/A,0.24,0.01,0.02,0.11,0.04,0.01,0.10,0.10,0.12,N/A,0.07,0.09,0.15,0.17,0.05,0.26,0.02,0.10,0.03,0.19,N/A,0.06,N/A,0.02,0.26,N/A
0.16,0.10,1,0.15,0.07,0.60,0.10,0.07,0.28,N/A,0.26,0.31,0.10,0.47,0.17,0.14,0.06,0.14,0.02,N/A,0.13,0.01,0.13,0.15,0.13,-0.00,0.00,0.25,0.53,0.11,N/A,0.13,N/A,0.05,0.02,N/A
0.31,0.28,0.15,1,0.32,0.18,0.28,0.03,0.09,N/A,0.53,0.09,0.28,0.13,0.26,0.16,0.17,0.21,0.29,N/A,0.19,0.07,0.29,0.19,0.11,0.30,-0.05,0.17,0.13,0.12,N/A,0.27,N/A,0.12,0.15,N/A
0.54,0.11,0.07,0.32,1,0.21,0.31,-0.00,0.08,N/A,0.35,0.14,0.34,0.26,0.35,0.17,0.08,0.18,0.10,N/A,0.03,0.23,0.58,0.05,0.22,0.26,0.01,0.20,0.20,0.02,N/A,0.42,N/A,-0.07,0.43,N/A
0.12,0.12,0.60,0.18,0.21,1,0.15,0.11,0.22,N/A,0.34,0.65,0.28,0.55,0.08,0.07,0.06,0.15,0.03,N/A,0.07,-0.00,0.25,0.14,0.10,0.15,0.06,0.39,0.49,0.16,N/A,0.16,N/A,0.08,0.09,N/A
0.45,0.09,0.10,0.28,0.31,0.15,1,0.22,0.28,N/A,0.51,0.06,0.12,0.11,0.03,0.31,0.32,0.35,0.25,N/A,0.07,0.26,0.30,0.28,0.00,0.12,0.19,0.35,0.14,0.22,N/A,0.31,N/A,0.07,0.20,N/A
0.16,0.16,0.07,0.03,-0.00,0.11,0.22,1,0.08,N/A,0.27,0.10,0.00,0.04,0.04,0.07,0.05,0.21,-0.01,N/A,0.02,0.04,0.17,0.10,0.19,0.18,0.06,-0.04,0.03,0.09,N/A,0.02,N/A,0.04,0.09,N/A
0.22,0.09,0.28,0.09,0.08,0.22,0.28,0.08,1,N/A,0.39,0.11,0.18,0.33,0.16,0.09,0.09,0.07,0.13,N/A,0.17,-0.02,0.24,0.12,0.11,0.22,0.04,0.32,0.21,0.12,N/A,0.16,N/A,0.19,0.08,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
