1,N/A,0.08,0.10,-0.02,N/A,0.20,0.23,0.07,N/A,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,N/A,1,0.01,0.12,N/A,0.03,0.06,0.44,N/A,0.11
0.10,N/A,0.01,1,0.01,N/A,0.13,0.22,0.14,N/A,-0.15
-0.02,N/A,0.12,0.01,1,N/A,0.03,0.07,0.05,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.20,N/A,0.03,0.13,0.03,N/A,1,0.07,0.06,N/A,0.15
0.23,N/A,0.06,0.22,0.07,N/A,0.07,1,0.12,N/A,0.01
0.07,N/A,0.44,0.14,0.05,N/A,0.06,0.12,1,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,N/A,0.11,-0.15,0.04,N/A,0.15,0.01,0.08,N/A,1
