N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.34,0.46,0.26,0.15,0.55,0.08,0.17,0.16,0.35,0.08,0.05,N/A,0.13,0.20,0.16,0.03,0.13,0.05,-0.04,0.07,0.15,0.04,-0.00,0.05,0.29,0.24
N/A,0.34,1,0.14,0.47,0.52,0.31,0.07,0.35,0.31,-0.01,0.15,0.07,N/A,0.29,0.16,0.45,0.16,0.02,0.13,0.07,0.05,0.51,-0.04,0.08,0.08,0.36,-0.03
N/A,0.46,0.14,1,0.34,0.25,0.39,-0.01,0.33,0.24,0.46,0.07,-0.11,N/A,0.19,0.26,0.27,-0.11,0.11,0.16,-0.11,0.08,0.20,-0.02,-0.01,0.00,0.13,0.37
N/A,0.26,0.47,0.34,1,0.40,0.45,0.20,0.38,0.38,0.42,0.35,0.18,N/A,0.07,0.50,0.42,0.24,0.27,0.26,0.06,0.07,0.36,0.20,0.09,0.32,0.38,0.18
N/A,0.15,0.52,0.25,0.40,1,0.24,0.10,0.33,0.22,0.16,0.07,0.09,N/A,0.36,0.13,0.30,0.06,0.05,0.11,0.04,0.03,0.38,0.17,0.09,0.03,0.26,0.17
N/A,0.55,0.31,0.39,0.45,0.24,1,0.23,0.11,0.19,0.64,0.16,0.15,N/A,0.01,0.24,0.29,-0.04,0.19,0.09,-0.09,0.20,0.23,0.25,0.01,0.19,0.24,0.31
N/A,0.08,0.07,-0.01,0.20,0.10,0.23,1,0.15,0.10,0.25,0.43,0.26,N/A,-0.03,-0.07,0.14,-0.07,0.08,-0.11,0.08,-0.08,0.20,0.39,-0.10,0.05,0.06,0.18
N/A,0.17,0.35,0.33,0.38,0.33,0.11,0.15,1,0.28,0.06,0.29,0.04,N/A,0.42,0.27,0.21,0.10,0.12,0.17,-0.02,0.13,0.25,-0.02,0.17,0.02,0.31,0.18
N/A,0.16,0.31,0.24,0.38,0.22,0.19,0.10,0.28,1,0.12,0.36,0.09,N/A,0.08,0.18,0.36,0.03,0.18,0.00,0.02,-0.01,0.31,-0.02,0.19,0.03,0.25,0.15
N/A,0.35,-0.01,0.46,0.42,0.16,0.64,0.25,0.06,0.12,1,0.14,0.07,N/A,-0.04,0.21,0.14,-0.01,0.27,0.14,-0.05,0.26,0.06,0.40,-0.01,0.26,0.14,0.48
N/A,0.08,0.15,0.07,0.35,0.07,0.16,0.43,0.29,0.36,0.14,1,0.23,N/A,0.03,0.09,0.14,0.05,0.19,-0.08,0.12,-0.02,0.18,0.08,0.14,0.03,0.07,0.01
N/A,0.05,0.07,-0.11,0.18,0.09,0.15,0.26,0.04,0.09,0.07,0.23,1,N/A,-0.01,0.21,0.14,-0.13,0.16,-0.11,0.05,0.03,0.10,0.22,0.10,0.07,-0.07,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.13,0.29,0.19,0.07,0.36,0.01,-0.03,0.42,0.08,-0.04,0.03,-0.01,N/A,1,0.16,0.02,0.00,0.06,0.01,0.04,-0.05,0.23,-0.14,0.01,0.01,0.06,0.13
N/A,0.20,0.16,0.26,0.50,0.13,0.24,-0.07,0.27,0.18,0.21,0.09,0.21,N/A,0.16,1,0.14,0.03,0.32,0.06,-0.04,0.20,0.08,-0.04,0.12,0.33,0.14,0.11
N/A,0.16,0.45,0.27,0.42,0.30,0.29,0.14,0.21,0.36,0.14,0.14,0.14,N/A,0.02,0.14,1,0.01,0.09,0.06,0.03,0.06,0.71,0.01,-0.06,0.04,0.52,0.27
N/A,0.03,0.16,-0.11,0.24,0.06,-0.04,-0.07,0.10,0.03,-0.01,0.05,-0.13,N/A,0.00,0.03,0.01,1,-0.00,0.27,0.09,-0.08,0.03,-0.02,0.02,0.12,0.08,-0.15
N/A,0.13,0.02,0.11,0.27,0.05,0.19,0.08,0.12,0.18,0.27,0.19,0.16,N/A,0.06,0.32,0.09,-0.00,1,0.21,0.08,0.01,0.09,0.05,0.04,0.21,0.13,0.12
N/A,0.05,0.13,0.16,0.26,0.11,0.09,-0.11,0.17,0.00,0.14,-0.08,-0.11,N/A,0.01,0.06,0.06,0.27,0.21,1,0.06,0.04,0.03,-0.09,-0.16,0.18,0.17,0.07
N/A,-0.04,0.07,-0.11,0.06,0.04,-0.09,0.08,-0.02,0.02,-0.05,0.12,0.05,N/A,0.04,-0.04,0.03,0.09,0.08,0.06,1,-0.00,0.07,-0.05,0.10,0.02,-0.04,-0.01
N/A,0.07,0.05,0.08,0.07,0.03,0.20,-0.08,0.13,-0.01,0.26,-0.02,0.03,N/A,-0.05,0.20,0.06,-0.08,0.01,0.04,-0.00,1,-0.02,0.09,0.08,-0.02,-0.00,0.08
N/A,0.15,0.51,0.20,0.36,0.38,0.23,0.20,0.25,0.31,0.06,0.18,0.10,N/A,0.23,0.08,0.71,0.03,0.09,0.03,0.07,-0.02,1,-0.01,-0.05,0.01,0.42,0.22
N/A,0.04,-0.04,-0.02,0.20,0.17,0.25,0.39,-0.02,-0.02,0.40,0.08,0.22,N/A,-0.14,-0.04,0.01,-0.02,0.05,-0.09,-0.05,0.09,-0.01,1,0.03,-0.02,-0.03,0.25
N/A,-0.00,0.08,-0.01,0.09,0.09,0.01,-0.10,0.17,0.19,-0.01,0.14,0.10,N/A,0.01,0.12,-0.06,0.02,0.04,-0.16,0.10,0.08,-0.05,0.03,1,0.10,-0.02,-0.03
N/A,0.05,0.08,0.00,0.32,0.03,0.19,0.05,0.02,0.03,0.26,0.03,0.07,N/A,0.01,0.33,0.04,0.12,0.21,0.18,0.02,-0.02,0.01,-0.02,0.10,1,0.11,-0.05
N/A,0.29,0.36,0.13,0.38,0.26,0.24,0.06,0.31,0.25,0.14,0.07,-0.07,N/A,0.06,0.14,0.52,0.08,0.13,0.17,-0.04,-0.00,0.42,-0.03,-0.02,0.11,1,0.36
N/A,0.24,-0.03,0.37,0.18,0.17,0.31,0.18,0.18,0.15,0.48,0.01,-0.04,N/A,0.13,0.11,0.27,-0.15,0.12,0.07,-0.01,0.08,0.22,0.25,-0.03,-0.05,0.36,1
