1,N/A,0.36,0.10,0.05,0.46,0.09,0.02,0.16,0.14,-0.04,0.06,0.40,N/A,0.00,0.01,0.31,0.27,0.23,0.09,0.23,0.22
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.36,N/A,1,0.21,0.08,0.51,0.11,0.28,0.29,0.32,0.09,0.10,0.46,N/A,0.04,0.08,0.22,0.38,0.39,0.09,0.27,0.32
0.10,N/A,0.21,1,0.09,0.22,0.05,0.30,0.18,0.29,-0.00,0.13,0.17,N/A,0.00,0.04,0.44,0.15,0.21,0.15,0.39,0.26
0.05,N/A,0.08,0.09,1,0.09,0.08,0.02,0.06,0.06,0.18,0.18,0.03,N/A,0.01,0.19,0.04,0.17,0.09,0.07,0.12,0.66
0.46,N/A,0.51,0.22,0.09,1,0.27,0.21,0.21,0.41,0.02,0.07,0.47,N/A,0.15,0.06,0.39,0.38,0.36,0.16,0.21,0.39
0.09,N/A,0.11,0.05,0.08,0.27,1,0.18,0.09,0.16,0.05,0.10,0.23,N/A,0.23,-0.01,0.15,0.17,0.17,0.18,-0.05,0.21
0.02,N/A,0.28,0.30,0.02,0.21,0.18,1,0.06,0.17,0.32,0.20,0.28,N/A,-0.09,-0.10,0.29,0.18,0.22,0.11,0.19,0.22
0.16,N/A,0.29,0.18,0.06,0.21,0.09,0.06,1,0.24,0.08,0.02,0.26,N/A,0.02,-0.02,0.21,0.08,0.07,0.23,0.38,0.17
0.14,N/A,0.32,0.29,0.06,0.41,0.16,0.17,0.24,1,0.10,0.15,0.22,N/A,0.09,0.09,0.18,0.24,0.20,0.27,0.26,0.23
-0.04,N/A,0.09,-0.00,0.18,0.02,0.05,0.32,0.08,0.10,1,0.06,0.06,N/A,-0.12,0.06,0.18,0.20,0.10,0.00,0.08,0.16
0.06,N/A,0.10,0.13,0.18,0.07,0.10,0.20,0.02,0.15,0.06,1,0.03,N/A,-0.13,0.11,-0.08,0.19,0.12,0.11,0.02,0.10
0.40,N/A,0.46,0.17,0.03,0.47,0.23,0.28,0.26,0.22,0.06,0.03,1,N/A,0.02,0.06,0.38,0.23,0.19,0.21,0.34,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.00,N/A,0.04,0.00,0.01,0.15,0.23,-0.09,0.02,0.09,-0.12,-0.13,0.02,N/A,1,-0.01,0.00,0.08,0.01,0.10,-0.08,0.06
0.01,N/A,0.08,0.04,0.19,0.06,-0.01,-0.10,-0.02,0.09,0.06,0.11,0.06,N/A,-0.01,1,0.01,0.33,0.08,0.02,-0.04,0.04
0.31,N/A,0.22,0.44,0.04,0.39,0.15,0.29,0.21,0.18,0.18,-0.08,0.38,N/A,0.00,0.01,1,0.30,0.35,0.17,0.32,0.29
0.27,N/A,0.38,0.15,0.17,0.38,0.17,0.18,0.08,0.24,0.20,0.19,0.23,N/A,0.08,0.33,0.30,1,0.35,0.16,0.09,0.24
0.23,N/A,0.39,0.21,0.09,0.36,0.17,0.22,0.07,0.20,0.10,0.12,0.19,N/A,0.01,0.08,0.35,0.35,1,0.13,0.13,0.28
0.09,N/A,0.09,0.15,0.07,0.16,0.18,0.11,0.23,0.27,0.00,0.11,0.21,N/A,0.10,0.02,0.17,0.16,0.13,1,0.28,0.08
0.23,N/A,0.27,0.39,0.12,0.21,-0.05,0.19,0.38,0.26,0.08,0.02,0.34,N/A,-0.08,-0.04,0.32,0.09,0.13,0.28,1,0.22
0.22,N/A,0.32,0.26,0.66,0.39,0.21,0.22,0.17,0.23,0.16,0.10,0.26,N/A,0.06,0.04,0.29,0.24,0.28,0.08,0.22,1
