1,0.36,0.06,0.17,N/A,-0.00,N/A,0.06,0.99,0.17,0.16,0.05,0.06,N/A,0.22,0.20,-0.15,0.20,0.12,0.01,N/A,0.04,N/A,0.29,0.03,N/A,0.32,0.14,N/A,0.07,0.27,0.06,0.08,0.14,0.14,N/A
0.36,1,0.16,0.14,N/A,0.06,N/A,0.17,0.36,0.17,0.16,0.15,0.04,N/A,0.37,0.04,-0.04,0.04,0.10,-0.02,N/A,0.11,N/A,0.32,0.00,N/A,0.23,0.09,N/A,0.18,0.30,0.09,0.08,0.29,0.07,N/A
0.06,0.16,1,0.43,N/A,0.10,N/A,0.05,0.04,0.30,0.51,0.25,0.08,N/A,0.53,0.12,0.03,0.12,0.29,0.15,N/A,0.49,N/A,0.29,0.09,N/A,0.30,0.07,N/A,0.28,0.56,0.17,0.23,0.22,0.10,N/A
0.17,0.14,0.43,1,N/A,0.11,N/A,0.19,0.16,0.21,0.51,0.21,0.14,N/A,0.41,0.13,0.10,0.13,0.31,0.15,N/A,0.38,N/A,0.24,0.02,N/A,0.44,0.07,N/A,0.17,0.36,0.23,0.12,0.24,0.10,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,0.06,0.10,0.11,N/A,1,N/A,0.15,0.00,0.15,0.09,0.21,0.07,N/A,0.10,0.16,0.02,0.16,0.21,0.15,N/A,0.14,N/A,0.03,0.03,N/A,0.11,0.12,N/A,0.18,0.14,0.09,0.14,0.30,0.12,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.17,0.05,0.19,N/A,0.15,N/A,1,0.05,-0.00,0.11,0.09,0.16,N/A,0.15,-0.11,0.01,-0.11,0.12,-0.05,N/A,0.03,N/A,0.08,0.03,N/A,0.22,0.00,N/A,0.20,0.16,0.14,0.01,0.13,-0.01,N/A
0.99,0.36,0.04,0.16,N/A,0.00,N/A,0.05,1,0.13,0.12,0.02,0.06,N/A,0.22,0.18,-0.16,0.18,0.12,0.00,N/A,0.04,N/A,0.24,0.02,N/A,0.28,0.12,N/A,0.07,0.23,0.05,0.07,0.13,0.14,N/A
0.17,0.17,0.30,0.21,N/A,0.15,N/A,-0.00,0.13,1,0.30,0.34,0.15,N/A,0.37,0.22,-0.01,0.22,0.17,0.10,N/A,0.15,N/A,0.47,-0.03,N/A,0.47,0.01,N/A,0.24,0.36,0.04,0.14,0.09,0.15,N/A
0.16,0.16,0.51,0.51,N/A,0.09,N/A,0.11,0.12,0.30,1,0.29,0.14,N/A,0.66,0.15,0.07,0.15,0.27,0.12,N/A,0.50,N/A,0.46,0.07,N/A,0.35,0.02,N/A,0.26,0.58,0.22,0.06,0.18,-0.02,N/A
0.05,0.15,0.25,0.21,N/A,0.21,N/A,0.09,0.02,0.34,0.29,1,-0.03,N/A,0.28,0.23,0.07,0.23,0.13,0.30,N/A,0.20,N/A,0.25,0.13,N/A,0.21,0.26,N/A,0.34,0.17,0.12,0.18,0.29,0.10,N/A
0.06,0.04,0.08,0.14,N/A,0.07,N/A,0.16,0.06,0.15,0.14,-0.03,1,N/A,0.16,0.00,0.01,0.00,0.10,0.03,N/A,0.05,N/A,0.27,0.03,N/A,0.10,0.06,N/A,0.14,0.19,0.08,0.04,0.11,0.10,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.22,0.37,0.53,0.41,N/A,0.10,N/A,0.15,0.22,0.37,0.66,0.28,0.16,N/A,1,0.15,0.04,0.15,0.37,0.10,N/A,0.34,N/A,0.53,-0.03,N/A,0.43,0.09,N/A,0.31,0.58,0.26,0.18,0.30,0.08,N/A
0.20,0.04,0.12,0.13,N/A,0.16,N/A,-0.11,0.18,0.22,0.15,0.23,0.00,N/A,0.15,1,0.09,1.00,0.05,0.04,N/A,-0.00,N/A,0.14,-0.07,N/A,0.28,0.03,N/A,0.13,0.18,0.05,0.17,0.24,0.08,N/A
-0.15,-0.04,0.03,0.10,N/A,0.02,N/A,0.01,-0.16,-0.01,0.07,0.07,0.01,N/A,0.04,0.09,1,0.09,-0.05,0.00,N/A,-0.06,N/A,0.02,0.05,N/A,-0.03,-0.04,N/A,0.08,0.05,0.11,0.08,0.01,-0.01,N/A
0.20,0.04,0.12,0.13,N/A,0.16,N/A,-0.11,0.18,0.22,0.15,0.23,0.00,N/A,0.15,1.00,0.09,1,0.05,0.04,N/A,-0.00,N/A,0.14,-0.07,N/A,0.28,0.03,N/A,0.13,0.18,0.05,0.17,0.24,0.08,N/A
0.12,0.10,0.29,0.31,N/A,0.21,N/A,0.12,0.12,0.17,0.27,0.13,0.10,N/A,0.37,0.05,-0.05,0.05,1,0.33,N/A,0.14,N/A,0.25,-0.02,N/A,0.25,0.24,N/A,0.36,0.28,0.24,0.28,0.37,0.09,N/A
