1,0.03,0.21,0.07,0.20,0.27,0.51,0.14,0.14,0.06,0.09,-0.03,N/A,0.06,0.28,0.07,0.33,0.04,0.08,0.06,0.13,0.11,0.18,0.01,0.37,0.09,N/A,0.28,0.15,0.31,0.12,0.28,0.66,0.04,0.21,0.28,0.15,0.05,0.06,N/A,0.07,0.32,0.04,0.19,-0.05,0.27,0.14,0.36,0.06,N/A
0.03,1,0.06,0.22,-0.03,0.13,0.04,0.25,0.02,-0.09,0.09,-0.06,N/A,0.12,0.02,0.11,0.13,0.02,0.04,-0.02,0.22,-0.05,-0.02,-0.06,0.13,0.08,N/A,0.10,0.14,-0.02,0.22,0.09,0.01,0.00,0.07,0.03,0.08,0.02,0.00,N/A,-0.02,-0.03,-0.04,0.17,-0.04,0.07,-0.02,-0.00,0.37,N/A
0.21,0.06,1,-0.06,0.12,0.09,0.33,0.10,0.28,-0.03,0.09,0.16,N/A,0.27,0.21,0.02,0.34,0.10,0.16,0.04,0.05,0.13,-0.01,-0.02,0.20,0.18,N/A,0.08,0.15,0.19,0.12,0.09,0.37,0.02,0.33,0.16,0.18,0.04,0.08,N/A,0.14,0.16,-0.03,0.23,0.14,0.09,0.25,0.40,0.06,N/A
0.07,0.22,-0.06,1,0.03,0.25,0.15,0.11,0.12,0.06,0.33,-0.03,N/A,0.26,0.17,0.06,0.11,0.04,0.18,0.27,0.04,0.24,-0.00,-0.00,0.21,-0.00,N/A,0.16,0.04,0.01,0.00,0.08,0.12,0.01,0.09,0.15,0.13,0.10,0.04,N/A,0.13,0.09,0.06,0.17,-0.08,0.12,-0.10,0.10,0.16,N/A
0.20,-0.03,0.12,0.03,1,0.24,0.15,0.08,0.44,0.03,0.14,0.06,N/A,0.14,0.19,-0.02,-0.03,0.25,0.24,-0.06,0.03,0.26,0.26,-0.02,0.31,0.15,N/A,0.25,0.02,0.26,0.23,0.16,0.21,-0.01,0.11,0.02,-0.05,-0.01,0.08,N/A,0.26,0.21,0.02,0.16,0.15,0.25,0.07,0.06,0.10,N/A
0.27,0.13,0.09,0.25,0.24,1,0.35,0.13,0.18,-0.04,0.41,0.05,N/A,0.11,0.15,-0.00,0.10,0.14,0.09,0.21,0.06,0.29,0.05,0.01,0.36,0.25,N/A,0.37,0.06,0.18,0.13,0.22,0.36,-0.01,0.18,0.09,0.19,-0.04,-0.01,N/A,0.14,0.30,0.01,0.10,0.14,0.19,0.24,0.25,0.15,N/A
0.51,0.04,0.33,0.15,0.15,0.35,1,0.09,0.28,0.08,0.13,0.05,N/A,0.05,0.21,0.08,0.41,0.07,0.07,0.00,0.06,0.27,0.09,0.04,0.50,0.05,N/A,0.44,0.18,0.42,0.18,0.44,0.68,-0.01,0.43,0.25,0.19,0.10,0.08,N/A,0.22,0.54,0.05,0.18,-0.01,0.24,0.18,0.70,0.18,N/A
0.14,0.25,0.10,0.11,0.08,0.13,0.09,1,0.06,0.02,0.10,-0.00,N/A,0.12,-0.02,0.05,0.08,0.02,0.01,0.07,0.13,0.08,0.03,0.09,0.16,0.00,N/A,0.08,0.05,0.04,0.17,0.17,0.10,-0.01,0.07,0.10,0.09,0.04,0.05,N/A,0.02,0.03,0.22,0.07,0.03,0.13,0.12,0.06,0.13,N/A
0.14,0.02,0.28,0.12,0.44,0.18,0.28,0.06,1,0.05,0.16,0.23,N/A,0.21,0.13,0.09,0.03,0.19,0.49,0.12,0.04,0.24,0.14,0.01,0.36,0.15,N/A,0.34,0.03,0.22,0.33,0.39,0.27,0.06,0.20,0.18,-0.04,0.06,0.11,N/A,0.13,0.31,-0.05,0.25,0.14,0.20,0.22,0.13,0.20,N/A
0.06,-0.09,-0.03,0.06,0.03,-0.04,0.08,0.02,0.05,1,0.17,0.02,N/A,0.09,0.04,0.06,0.01,0.09,0.05,-0.01,0.05,0.01,0.74,0.89,0.02,-0.03,N/A,0.05,0.01,0.01,0.25,0.03,0.00,0.10,0.04,0.06,-0.06,0.80,0.68,N/A,0.63,-0.01,0.46,-0.05,0.21,0.04,-0.08,0.01,0.07,N/A
0.09,0.09,0.09,0.33,0.14,0.41,0.13,0.10,0.16,0.17,1,0.12,N/A,0.17,0.22,0.01,0.12,0.12,0.07,0.25,0.01,0.17,0.07,0.10,0.15,0.17,N/A,0.26,0.13,0.07,0.19,0.10,0.14,-0.06,0.08,0.18,0.10,0.23,0.19,N/A,0.27,0.04,0.07,0.03,0.17,0.11,0.01,0.09,0.07,N/A
-0.03,-0.06,0.16,-0.03,0.06,0.05,0.05,-0.00,0.23,0.02,0.12,1,N/A,0.10,-0.03,0.11,-0.12,-0.08,0.13,0.01,-0.00,0.23,-0.06,-0.01,0.06,0.18,N/A,0.04,0.11,-0.08,0.06,0.15,0.03,0.01,-0.02,-0.04,-0.04,0.02,-0.00,N/A,0.07,0.02,-0.06,0.05,0.00,0.03,0.06,-0.03,0.02,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.12,0.27,0.26,0.14,0.11,0.05,0.12,0.21,0.09,0.17,0.10,N/A,1,0.08,0.10,0.23,0.24,0.30,0.01,0.03,0.17,0.13,0.03,0.15,0.26,N/A,0.06,0.05,0.07,0.15,0.20,0.12,0.24,0.11,0.17,0.04,0.02,0.07,N/A,0.09,0.03,-0.01,0.10,0.28,0.09,0.15,0.04,0.10,N/A
0.28,0.02,0.21,0.17,0.19,0.15,0.21,-0.02,0.13,0.04,0.22,-0.03,N/A,0.08,1,0.15,0.13,0.10,0.24,0.08,0.10,0.10,0.01,-0.01,0.18,0.06,N/A,0.19,0.11,0.15,0.18,0.09,0.21,0.07,0.10,0.16,-0.00,0.27,0.11,N/A,0.15,0.09,0.03,0.23,0.14,0.13,-0.15,0.14,0.02,N/A
0.07,0.11,0.02,0.06,-0.02,-0.00,0.08,0.05,0.09,0.06,0.01,0.11,N/A,0.10,0.15,1,0.16,-0.03,0.12,0.08,0.27,0.12,0.03,0.03,0.08,0.12,N/A,0.06,0.12,0.00,0.14,0.00,0.07,0.12,0.10,0.10,0.05,0.13,0.05,N/A,0.04,0.03,0.00,0.02,-0.09,0.16,0.03,0.06,0.23,N/A
0.33,0.13,0.34,0.11,-0.03,0.10,0.41,0.08,0.03,0.01,0.12,-0.12,N/A,0.23,0.13,0.16,1,0.05,-0.09,0.03,-0.04,0.11,0.01,-0.00,0.42,0.05,N/A,0.19,0.16,0.20,-0.07,0.11,0.46,0.06,0.16,0.15,0.26,0.12,0.08,N/A,0.03,0.19,-0.07,0.23,0.02,0.27,-0.02,0.17,0.25,N/A
0.04,0.02,0.10,0.04,0.25,0.14,0.07,0.02,0.19,0.09,0.12,-0.08,N/A,0.24,0.10,-0.03,0.05,1,0.34,-0.04,-0.07,0.11,0.16,0.08,0.02,0.07,N/A,0.04,-0.13,0.04,0.09,0.17,-0.05,0.01,0.01,-0.01,-0.08,0.11,0.14,N/A,-0.01,-0.05,0.02,0.14,0.11,-0.11,0.03,0.04,-0.04,N/A
0.08,0.04,0.16,0.18,0.24,0.09,0.07,0.01,0.49,0.05,0.07,0.13,N/A,0.30,0.24,0.12,-0.09,0.34,1,0.14,0.14,0.28,0.07,0.02,0.15,0.00,N/A,0.26,0.15,0.18,0.24,0.25,0.07,0.21,0.11,0.17,0.00,0.15,0.05,N/A,0.06,0.12,0.03,0.22,0.15,0.05,0.18,0.08,-0.02,N/A
0.06,-0.02,0.04,0.27,-0.06,0.21,0.00,0.07,0.12,-0.01,0.25,0.01,N/A,0.01,0.08,0.08,0.03,-0.04,0.14,1,0.00,0.20,0.02,-0.01,0.06,0.03,N/A,0.16,0.17,0.06,0.01,0.13,0.03,0.15,0.16,0.04,0.22,0.09,0.06,N/A,0.03,0.14,-0.03,0.20,-0.01,0.05,0.07,0.01,-0.03,N/A
0.13,0.22,0.05,0.04,0.03,0.06,0.06,0.13,0.04,0.05,0.01,-0.00,N/A,0.03,0.10,0.27,-0.04,-0.07,0.14,0.00,1,0.09,-0.02,-0.02,0.07,-0.10,N/A,0.13,0.17,-0.02,0.01,0.02,0.04,0.08,0.02,0.02,-0.03,-0.01,-0.00,N/A,0.03,0.02,-0.02,0.05,0.19,0.11,0.02,0.04,0.23,N/A
0.11,-0.05,0.13,0.24,0.26,0.29,0.27,0.08,0.24,0.01,0.17,0.23,N/A,0.17,0.10,0.12,0.11,0.11,0.28,0.20,0.09,1,0.02,0.02,0.46,0.20,N/A,0.35,0.13,0.33,-0.01,0.33,0.27,0.08,0.18,0.19,-0.03,-0.00,-0.01,N/A,0.22,0.28,0.04,0.21,0.01,0.21,0.22,0.15,0.08,N/A
0.18,-0.02,-0.01,-0.00,0.26,0.05,0.09,0.03,0.14,0.74,0.07,-0.06,N/A,0.13,0.01,0.03,0.01,0.16,0.07,0.02,-0.02,0.02,1,0.68,0.07,0.00,N/A,0.06,0.01,0.06,0.25,0.13,0.02,0.18,0.14,0.04,-0.06,0.54,0.61,N/A,0.39,0.09,0.33,0.03,0.08,0.00,-0.02,0.08,0.06,N/A
0.01,-0.06,-0.02,-0.00,-0.02,0.01,0.04,0.09,0.01,0.89,0.10,-0.01,N/A,0.03,-0.01,0.03,-0.00,0.08,0.02,-0.01,-0.02,0.02,0.68,1,0.08,-0.01,N/A,0.02,-0.00,0.01,0.20,0.05,-0.00,0.03,0.01,0.00,0.01,0.81,0.66,N/A,0.67,0.01,0.52,-0.02,0.21,0.03,-0.01,0.03,0.01,N/A
0.37,0.13,0.20,0.21,0.31,0.36,0.50,0.16,0.36,0.02,0.15,0.06,N/A,0.15,0.18,0.08,0.42,0.02,0.15,0.06,0.07,0.46,0.07,0.08,1,0.18,N/A,0.54,0.26,0.47,0.13,0.58,0.66,-0.09,0.33,0.03,0.16,0.07,0.07,N/A,0.22,0.58,0.01,0.40,0.03,0.25,0.14,0.37,0.23,N/A
0.09,0.08,0.18,-0.00,0.15,0.25,0.05,0.00,0.15,-0.03,0.17,0.18,N/A,0.26,0.06,0.12,0.05,0.07,0.00,0.03,-0.10,0.20,0.00,-0.01,0.18,1,N/A,0.10,-0.00,0.08,0.05,0.05,0.15,0.02,0.04,0.12,0.04,-0.00,-0.02,N/A,0.09,0.12,0.05,0.15,0.09,0.01,0.22,0.02,0.11,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.28,0.10,0.08,0.16,0.25,0.37,0.44,0.08,0.34,0.05,0.26,0.04,N/A,0.06,0.19,0.06,0.19,0.04,0.26,0.16,0.13,0.35,0.06,0.02,0.54,0.10,N/A,1,0.06,0.32,0.26,0.36,0.43,-0.07,0.20,0.23,0.20,0.07,0.07,N/A,0.16,0.49,0.03,0.30,0.03,0.13,0.23,0.29,0.27,N/A
