1,0.22,-0.01,0.13,0.13,0.20,0.27,0.27,0.19,0.14,0.12,0.32,0.25,0.32,0.30,0.30,N/A,0.09,0.18,0.11,0.22,N/A,N/A,0.21,0.35,0.16,0.34,0.16,0.03,0.11
0.22,1,0.20,0.15,0.04,0.12,0.16,0.36,0.19,0.23,0.07,0.22,0.28,0.11,0.09,0.31,N/A,0.14,0.14,0.20,0.06,N/A,N/A,0.21,0.30,0.08,0.22,0.21,0.11,0.08
-0.01,0.20,1,0.06,0.08,0.20,0.23,0.25,0.21,-0.00,0.12,0.23,0.30,0.29,0.11,0.34,N/A,0.27,0.18,0.09,0.16,N/A,N/A,0.32,0.41,0.04,0.32,0.14,0.13,0.23
0.13,0.15,0.06,1,0.20,0.20,0.30,0.13,0.08,0.09,0.10,0.33,0.15,0.19,0.31,0.30,N/A,-0.01,0.17,0.33,0.30,N/A,N/A,0.21,0.40,0.05,0.33,0.15,0.06,0.18
0.13,0.04,0.08,0.20,1,0.05,0.13,0.26,0.16,0.13,0.08,0.21,0.17,0.37,0.07,0.28,N/A,0.28,0.10,0.07,0.13,N/A,N/A,0.25,0.32,0.10,0.21,0.01,-0.04,0.00
0.20,0.12,0.20,0.20,0.05,1,0.30,0.14,0.23,0.14,0.42,0.31,0.33,0.29,0.46,0.42,N/A,0.10,0.14,0.35,0.20,N/A,N/A,0.54,0.41,0.13,0.34,0.12,0.14,0.82
0.27,0.16,0.23,0.30,0.13,0.30,1,0.29,0.25,0.17,0.18,0.93,0.39,0.32,0.51,0.49,N/A,0.08,0.46,0.31,0.47,N/A,N/A,0.37,0.42,0.38,0.93,0.09,0.00,0.19
0.27,0.36,0.25,0.13,0.26,0.14,0.29,1,0.30,0.11,0.20,0.34,0.40,0.41,0.13,0.55,N/A,0.29,0.37,0.25,0.19,N/A,N/A,0.29,0.61,0.09,0.43,0.31,0.09,0.18
0.19,0.19,0.21,0.08,0.16,0.23,0.25,0.30,1,0.16,0.10,0.35,0.44,0.34,0.21,0.56,N/A,0.38,0.33,0.31,0.23,N/A,N/A,0.40,0.50,0.17,0.35,0.37,0.06,0.28
0.14,0.23,-0.00,0.09,0.13,0.14,0.17,0.11,0.16,1,0.03,0.23,0.08,0.13,0.17,0.33,N/A,0.10,0.24,0.07,0.08,N/A,N/A,0.25,0.29,0.18,0.26,-0.02,-0.01,0.12
