1,0.13,N/A,0.01,0.14,0.25,0.11,0.17,0.11,N/A,N/A,N/A,0.00,N/A,0.08,-0.10,0.03,-0.01,0.11,N/A,0.17,N/A,0.19,N/A,0.08,0.06,0.73,0.07
0.13,1,N/A,-0.05,0.22,0.19,0.04,0.25,0.10,N/A,N/A,N/A,0.02,N/A,0.02,-0.09,0.08,0.13,0.23,N/A,-0.01,N/A,0.06,N/A,-0.07,0.08,0.18,-0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,-0.05,N/A,1,0.10,-0.03,-0.04,0.20,0.02,N/A,N/A,N/A,0.17,N/A,0.10,0.18,0.15,0.07,0.04,N/A,-0.03,N/A,0.16,N/A,-0.03,0.09,0.14,0.04
0.14,0.22,N/A,0.10,1,0.36,0.14,0.41,0.25,N/A,N/A,N/A,0.40,N/A,0.17,-0.06,0.35,0.19,0.39,N/A,0.19,N/A,0.30,N/A,0.33,0.40,0.22,0.16
0.25,0.19,N/A,-0.03,0.36,1,0.03,0.44,0.40,N/A,N/A,N/A,0.10,N/A,0.35,0.06,0.05,0.29,0.08,N/A,0.29,N/A,0.41,N/A,0.38,0.09,0.34,-0.04
0.11,0.04,N/A,-0.04,0.14,0.03,1,0.22,0.31,N/A,N/A,N/A,-0.04,N/A,0.32,0.13,0.19,0.38,0.10,N/A,0.18,N/A,0.34,N/A,0.07,0.15,0.26,0.15
0.17,0.25,N/A,0.20,0.41,0.44,0.22,1,0.61,N/A,N/A,N/A,0.10,N/A,0.49,0.17,0.02,0.44,0.08,N/A,0.46,N/A,0.50,N/A,0.27,0.07,0.39,0.19
0.11,0.10,N/A,0.02,0.25,0.40,0.31,0.61,1,N/A,N/A,N/A,0.08,N/A,0.48,0.32,-0.04,0.43,0.17,N/A,0.32,N/A,0.70,N/A,0.29,0.08,0.36,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.00,0.02,N/A,0.17,0.40,0.10,-0.04,0.10,0.08,N/A,N/A,N/A,1,N/A,-0.02,-0.04,0.36,0.01,0.12,N/A,0.15,N/A,0.11,N/A,0.14,0.23,0.04,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.02,N/A,0.10,0.17,0.35,0.32,0.49,0.48,N/A,N/A,N/A,-0.02,N/A,1,0.31,0.05,0.76,0.14,N/A,0.36,N/A,0.43,N/A,0.17,0.10,0.32,-0.12
